threshold,total_cost,fraud_loss,friction_cost,precision,recall,f1
0.01,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.02,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.03,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.04,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.05,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.060000000000000005,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.06999999999999999,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.08,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.09,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.09999999999999999,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.11,96670.0,0.0,96670.0,0.0333,1.0,0.0644536920545824
0.12,96625.0,0.0,96625.0,0.03331499174628583,1.0,0.06448177373287506
0.13,96465.0,0.0,96465.0,0.03336840523072298,1.0,0.06458181818181818
0.14,96325.0,0.0,96325.0,0.03341528272540264,1.0,0.06466961207942905
0.15000000000000002,96245.0,0.0,96245.0,0.033442129048455935,1.0,0.06471988727467082
0.16,96110.0,0.0,96110.0,0.033487530168946095,1.0,0.06480490415490903
0.17,95949.8,54.8,95895.0,0.033511388832896595,0.9984984984984985,0.06484641638225255
0.18000000000000002,95391.37,106.37,95285.0,0.03366969220627757,0.996996996996997,0.06513954971305244
0.19,94471.37,106.37,94365.0,0.03398679428776168,0.996996996996997,0.06573281195862
0.2,93615.55,135.55,93480.0,0.03424763675809701,0.9954954954954955,0.06621722846441948
0.21000000000000002,92650.68,185.68,92465.0,0.03450976297379137,0.9924924924924925,0.06670030272452068
0.22,91912.44,322.44,91590.0,0.034675379426644184,0.987987987987988,0.06699928724162509
0.23,90942.44,322.44,90620.0,0.03503354275370035,0.987987987987988,0.0676676264911559
0.24000000000000002,89692.64,447.64,89245.0,0.03539775183744055,0.9834834834834835,0.0683359415753782
0.25,88331.13,681.13,87650.0,0.035753575357535754,0.975975975975976,0.06898015494004033
0.26,86314.14,939.14,85375.0,0.03618198238880108,0.9624624624624625,0.06974213904906974
0.27,83739.37,1134.37,82605.0,0.03701328981114479,0.9534534534534534,0.07126024015262036
0.28,81186.12,1366.1200000000001,79820.0,0.03796552970953357,0.9459459459459459,0.07300115874855156
0.29000000000000004,78957.77,1757.7700000000002,77200.0,0.0385453639703593,0.9294294294294294,0.07402092675635276
0.3,77038.29,2228.2900000000004,74810.0,0.03911116819728983,0.9144144144144144,0.07501385723963787
0.31,75215.42,2640.4200000000005,72575.0,0.03969566655640092,0.9009009009009009,0.07604080856726443
0.32,73367.29,2947.2900000000004,70420.0,0.04033796674843282,0.8888888888888888,0.07717377134663017
0.33,71496.31,3261.31,68235.0,0.041104553119730186,0.8783783783783784,0.07853403141361257
0.34,69448.39,3608.3900000000003,65840.0,0.04211828035207682,0.8693693693693694,0.08034413376812599
0.35000000000000003,66779.55,4084.55,62695.0,0.043043577806609175,0.8468468468468469,0.08192316072336407
0.36000000000000004,63820.5,4480.5,59340.0,0.04452137509057242,0.8303303303303303,0.0845113471383816
0.37,60643.2,4898.2,55745.0,0.04644201163188505,0.8153153153153153,0.08787829745913578
0.38,58000.03,5595.030000000001,52405.0,0.0472684301427143,0.7807807807807807,0.08914031027684924
0.39,55514.69,6119.6900000000005,49395.0,0.04909038406006353,0.7657657657657657,0.09226594301221167
0.4,53564.32,6864.32,46700.0,0.05033045246568378,0.7432432432432432,0.09427673554899534
0.41000000000000003,51561.66,7271.66,44290.0,0.05191052124585251,0.7282282282282282,0.09691277849935058
0.42000000000000004,49889.15,7919.149999999999,41970.0,0.053557334536024355,0.7132132132132132,0.09963293130571578
0.43,48494.75,8574.75,39920.0,0.0552597325760265,0.7012012012012012,0.10244598003729297
0.44,47108.020000000004,9308.02,37800.0,0.056415376934598103,0.6786786786786787,0.1041714680802028
0.45,45887.149999999994,9992.149999999998,35895.0,0.057502953918865694,0.6576576576576577,0.1057587830496197
0.46,44265.21,10705.21,33560.0,0.05902144960044862,0.6321321321321322,0.10796255930247467
0.47000000000000003,42510.0,11065.0,31445.0,0.06106300388175575,0.6141141141141141,0.11108093427485062
0.48000000000000004,40670.4,11335.400000000001,29335.0,0.06367698691350143,0.5990990990990991,0.11511829197922678
0.49,39518.16,11908.16,27610.0,0.0658095076975131,0.5840840840840841,0.11829101414018549
0.5,38009.21,12174.21,25835.0,0.06884123265453235,0.5735735735735735,0.12292839903459372
0.51,37371.13,13071.13,24300.0,0.07092334161728159,0.5570570570570571,0.12582669153807022
0.52,36665.08,13860.079999999998,22805.0,0.07240187105958917,0.5345345345345346,0.1275300017911517
0.53,35570.21,14270.21,21300.0,0.07511940946591403,0.5195195195195195,0.13125948406676782
0.54,34914.9,15039.9,19875.0,0.07729805013927576,0.5,0.1338962605548854
0.55,34108.86,15538.86,18570.0,0.08023774145616643,0.4864864864864865,0.1377551020408163
0.56,34414.35,16824.35,17590.0,0.08026143790849673,0.46096096096096095,0.13671788020485415
0.5700000000000001,33920.14,17265.14,16655.0,0.08312689237544729,0.45345345345345345,0.14049779018376365
0.5800000000000001,33353.61,17543.61,15810.0,0.0861271676300578,0.44744744744744747,0.14444983034415898
0.59,33815.08,18675.08,15140.0,0.08712692191739524,0.4339339339339339,0.14511674617122772
